ID,Ngày,Danh Mục,Số Tiền,Ghi Chú
1759148426573,2024-12-14,Di chuyển,50000,Xăng xe
1759148426574,2024-12-15,Hóa đơn,350000,Tiền điện nước
1759148441623,2025-09-29,Ăn uống,900000,
1739873622795,2025-07-30,Giải trí,4276254,Đi karaoke
1163120547692,2025-01-20,Giáo dục,3257051,Học phí
1615345238237,2025-05-13,Gia đình,1957129,Tiệc gia đình
1201365287036,2025-08-18,Hóa đơn,4071679,Tiền nước
1793026671382,2024-07-04,Hóa đơn,373927,Tiền nước
1133438709598,2025-06-08,Khác,2305664,Chi phí phát sinh
1298375499083,2024-11-06,Ăn uống,2243483,Cơm trưa
1882506107180,2024-03-17,Ăn uống,2042422,Cơm trưa
1162838612320,2024-12-07,Giáo dục,3129954,Học phí
1902437334938,2024-04-12,Khác,2788139,Không rõ
1272900797931,2025-09-25,Gia đình,2635654,Mua quà
1707186300219,2025-03-12,Bạn bè,3135138,Đi nhậu
1301852402627,2024-05-05,Giáo dục,3133859,Sách vở
1034606008100,2024-05-30,Ăn uống,3798164,Ăn vặt
1225698967157,2025-03-08,Ăn uống,1938620,Nhậu
1069046768899,2025-08-03,Giáo dục,4781228,Học phí
1345049736995,2024-10-10,Bạn bè,670052,Tặng quà
1253409478861,2024-09-15,Giải trí,961480,Chơi game
1405305437823,2024-11-15,Di chuyển,1754214,Taxi
1308580776391,2024-03-21,Mua sắm,3027589,Điện tử
1465987131866,2024-10-13,Giải trí,1735631,Du lịch
1721370692413,2024-12-24,Giải trí,2021888,Du lịch
1667512242153,2024-05-05,Giải trí,46980,Du lịch
1731892742332,2024-07-28,Ăn uống,1467773,Ăn sáng
1811911581655,2024-11-01,Giải trí,4590066,Đi karaoke
1496522549749,2024-08-14,Giáo dục,1932162,Học phí
1897433913475,2024-05-21,Giải trí,2140625,Xem phim
1577817226069,2025-06-03,Ăn uống,4478382,Cafe
1216390392583,2025-09-14,Mua sắm,3252352,Đồ gia dụng
1482233696628,2025-08-01,Bạn bè,2214705,Tặng quà
1574415324259,2024-01-08,Sức khỏe,4145696,Thuốc men
1168106966620,2024-04-02,Giải trí,1027139,Xem phim
1817541855022,2025-08-10,Hóa đơn,345406,Điện thoại
1805657717156,2024-03-15,Gia đình,1783104,Mua quà
1089498310763,2024-05-23,Sức khỏe,4157423,Mua vitamin
1600629976575,2024-10-02,Ăn uống,2611886,Cafe
1748870375904,2024-08-06,Bạn bè,902588,Đi cafe
1356977774784,2024-01-01,Mua sắm,1790823,Giày dép
1967176865074,2024-07-09,Hóa đơn,4620726,Tiền điện
1444542728446,2024-11-30,Hóa đơn,397373,Tiền nước
1607000094967,2024-06-15,Giáo dục,4365559,Khóa học online
1430517861944,2025-09-08,Mua sắm,741635,Đồ gia dụng
1519090113033,2025-08-12,Gia đình,1421499,Mua quà
1483353681491,2024-03-23,Hóa đơn,3275399,Điện thoại
1375796150007,2025-04-06,Hóa đơn,2441332,Tiền điện
1879037034480,2024-01-28,Bạn bè,3643431,Đi cafe
1982839569247,2024-02-04,Ăn uống,3867711,Ăn sáng
1466023799720,2024-01-23,Giải trí,4351084,Du lịch
1681533776601,2024-10-03,Gia đình,602454,Tiền chợ
1575398394793,2025-04-30,Giải trí,193996,Du lịch
1859344236083,2024-08-31,Sức khỏe,1788300,Khám bệnh
1338534224550,2024-11-17,Di chuyển,103963,Xăng xe
1147152607485,2024-03-31,Sức khỏe,2398808,Mua vitamin
1206282416166,2025-05-26,Giáo dục,2136851,Sách vở
1392564223737,2024-11-06,Giải trí,3058032,Chơi game
1097649881086,2025-05-09,Mua sắm,2216816,Điện tử
1962791402414,2025-03-04,Bạn bè,1631382,Đi cafe
1354250745369,2025-02-27,Khác,4754614,Không rõ
1431992150937,2025-09-10,Khác,632909,Chi phí phát sinh
1297450087986,2024-08-04,Sức khỏe,678192,Khám bệnh
1837211338222,2025-06-06,Hóa đơn,415707,Internet
1179067140262,2024-11-12,Giáo dục,2612954,Học phí
1582631159076,2025-07-29,Di chuyển,3246844,Bảo dưỡng xe
1363333566728,2025-07-16,Giáo dục,2254604,Khóa học online
1056036234525,2025-02-25,Giáo dục,3221728,Khóa học online
1139039832161,2024-09-03,Ăn uống,40333,Nhậu
1748972176115,2024-07-17,Sức khỏe,3380623,Thuốc men
1306018196749,2024-10-25,Mua sắm,4019084,Đồ gia dụng
1384924968208,2024-04-17,Di chuyển,2178031,Grab
1980514041617,2025-01-20,Giải trí,1296938,Đi karaoke
1806081932702,2024-10-11,Giải trí,225987,Du lịch
1261838996847,2025-03-16,Khác,1299323,Chi phí phát sinh
1200246354985,2024-07-18,Sức khỏe,491020,Thuốc men
1122325791729,2024-08-24,Gia đình,4579077,Tiệc gia đình
1951228497415,2024-04-22,Gia đình,4242016,Tiền chợ
1704052332802,2024-04-08,Gia đình,1514469,Tiền chợ
1365207071633,2024-08-24,Sức khỏe,4311703,Mua vitamin
1802132964619,2025-01-09,Bạn bè,730173,Tặng quà
1346137036389,2025-04-22,Sức khỏe,1528279,Mua vitamin
1498950124591,2025-06-06,Hóa đơn,200160,Tiền điện
1285475260319,2024-06-05,Khác,727966,Chi phí phát sinh
1782525183460,2024-04-11,Khác,321903,Chi phí phát sinh
1691501434740,2025-08-27,Gia đình,3882610,Mua quà
1411198917577,2024-03-09,Khác,1066703,Chi phí phát sinh
1287985385624,2024-10-06,Di chuyển,3348606,Vé xe bus
1607297248038,2024-03-26,Bạn bè,63349,Đi cafe
1318135275744,2024-05-12,Ăn uống,2531310,Nhậu
1738028271531,2025-08-18,Gia đình,1459786,Tiệc gia đình
1083539996310,2024-03-01,Gia đình,3417638,Tiền chợ
1388233226268,2025-09-16,Giáo dục,3377107,Khóa học online
1856954324402,2024-12-22,Sức khỏe,3111889,Khám bệnh
1846837784453,2024-06-23,Mua sắm,4855886,Đồ gia dụng
1627148345565,2024-02-07,Hóa đơn,1977129,Tiền nước
1678486852494,2025-06-30,Sức khỏe,4583749,Thuốc men
1982214548326,2025-05-08,Hóa đơn,4639549,Tiền nước
1214203357406,2024-12-25,Giáo dục,1823141,Sách vở
1693059735175,2024-03-15,Ăn uống,2797936,Cơm trưa
1200380976015,2025-01-17,Khác,3791326,Chi phí phát sinh
1473090527074,2024-10-17,Gia đình,1486268,Tiệc gia đình
1614519945528,2024-09-16,Giáo dục,3977213,Sách vở
